1,California Institute of Technology,United States of America
2,Harvard University,United States of America
3,University of Oxford,United Kingdom
4,Stanford University,United States of America
5,University of Cambridge,United Kingdom
6,Massachusetts Institute of Technology,United States of America
7,Princeton University,United States of America
8,"University of California, Berkeley",United States of America
9,Imperial College London,United Kingdom
9,Yale University,United States of America
11,University of Chicago,United States of America
12,"University of California, Los Angeles",United States of America
13,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland
14,Columbia University,United States of America
15,Johns Hopkins University,United States of America
16,University of Pennsylvania,United States of America
17,University of Michigan,United States of America
18,Duke University,United States of America
19,Cornell University,United States of America
20,University of Toronto,Canada
21,Northwestern University,United States of America
22,University College London,United Kingdom
23,University of Tokyo,Japan
24,Carnegie Mellon University,United States of America
25,National University of Singapore,Singapore
26,University of Washington,United States of America
27,Georgia Institute of Technology,United States of America
28,University of Texas at Austin,United States of America
29,LMU Munich,Germany
29,University of Illinois at Urbana-Champaign,United States of America
29,University of Wisconsin-Madison,United States of America
32,University of British Columbia,Canada
33,University of Melbourne,Australia
34,École Polytechnique Fédérale de Lausanne,Switzerland
36,University of Edinburgh,United Kingdom
37,"University of California, Santa Barbara",United States of America
38,New York University,United States of America
39,McGill University,Canada
40,King’s College London,United Kingdom
41,"University of California, San Diego",United States of America
42,Washington University in St Louis,United States of America
43,University of Hong Kong,Hong Kong
44,Karolinska Institute,Sweden
45,Australian National University,Australia
46,University of Minnesota,United States of America
46,University of North Carolina at Chapel Hill,United States of America
48,Peking University,China
49,Tsinghua University,China
50,Seoul National University,South Korea
51,Hong Kong University of Science and Technology,Hong Kong
52,Korea Advanced Institute of Science and Technology (KAIST),South Korea
52,University of Manchester,United Kingdom
54,Brown University,United States of America
55,KU Leuven,Belgium
55,"University of California, Davis",United States of America
57,Boston University,United States of America
58,Pennsylvania State University,United States of America
59,Kyoto University,Japan
60,University of Sydney,Australia
61,Nanyang Technological University,Singapore
61,École Polytechnique,France
63,Scuola Normale Superiore di Pisa,Italy
64,Leiden University,Netherlands
65,The University of Queensland,Australia
66,Pohang University of Science and Technology,South Korea
67,University of Göttingen,Germany
68,Ohio State University,United States of America
69,Rice University,United States of America
70,Heidelberg University,Germany
71,Delft University of Technology,Netherlands
72,Erasmus University Rotterdam,Netherlands
73,Wageningen University and Research Center,Netherlands
74,University of Bristol,United Kingdom
75,University of Basel,Switzerland
75,University of Southern California,United States of America
77,University of Amsterdam,Netherlands
78,École Normale Supérieure,France
79,Utrecht University,Netherlands
80,Humboldt University of Berlin,Germany
81,Free University of Berlin,Germany
82,Michigan State University,United States of America
83,Durham University,United Kingdom
83,Monash University,Australia
85,Middle East Technical University,Turkey
86,University of Arizona,United States of America
86,University of Notre Dame,United States of America
88,Tufts University,United States of America
88,"University of California, Irvine",United States of America
90,Ghent University,Belgium
91,University of Massachusetts,United States of America
91,University of Pittsburgh,United States of America
93,Emory University,United States of America
94,McMaster University,Canada
94,University of Glasgow,United Kingdom
96,Vanderbilt University,United States of America
97,University of Colorado Boulder,United States of America
98,Stockholm University,Sweden
98,Technical University of Munich,Germany
98,Uppsala University,Sweden
101,Maastricht University,Netherlands
102,Purdue University,United States of America
103,Pierre and Marie Curie University,France
103,University of Helsinki,Finland
103,University of Warwick,United Kingdom
103,University of Zurich,Switzerland
107,Queen Mary University of London,United Kingdom
107,University of Geneva,Switzerland
109,"University of California, Santa Cruz",United States of America
109,University of New South Wales,Australia
111,University of St Andrews,United Kingdom
111,University of Sussex,United Kingdom
113,University of Montreal,Canada
113,University of Tübingen,Germany
116,Case Western Reserve University,United States of America
117,University of Groningen,Netherlands
